size,PDL,No PDL
8388608.000000,2964.099998,2902.695085
16777216.000000,3030.683054,2998.751794
33554432.000000,3069.735279,3053.402979
67108864.000000,3089.183654,3080.804583
134217728.000000,3096.957982,3092.513738
